,casting_time,classes,description,duration,level,name,range,ritual,school,tags,type,components.material,components.raw,components.somatic,components.verbal,components.materials_needed,higher_levels,namesFR,descrisFR,descrisHLFR
0,1 action,"['sorcerer', 'wizard']","You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.

This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",Instantaneous,cantrip,Acid Splash,60 feet,False,conjuration,"['sorcerer', 'wizard', 'cantrip']",Conjuration cantrip,False,"V, S",True,True,,,Éclaboussure d'acide,"Vous lancez une bulle d'acide. Choisissez une créature à portée ou deux créatures à portée qui se trouvent à 1,50 mètre ou moins l'une de l'autre. La cible doit réussir un jet de sauvegarde de Dextérité ou subir 1d6 dégâts d'acide.

Les dégâts de ce sort augmentent de 1d6 lorsque vous atteignez le niveau 5 (2d6), le niveau 11 (3d6) et le niveau 17 (4d6).",
1,1 action,"['ranger', 'wizard']","You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.

A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping.

An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.",8 hours,1,Alarm,30 feet,True,abjuration,"['ranger', 'wizard', 'level1']",1st-level abjuration (ritual),True,"V, S, M (a tiny bell and a piece of fine silver wire)",True,True,['a tiny bell and a piece of fine silver wire'],,Alarme,"Vous définissez une alarme contre toute intrusion indésirable. Choisissez une porte, une fenêtre ou une zone à portée qui ne dépasse pas un cube de 6 mètres. Jusqu'à la fin du sort, une alarme vous avertit chaque fois qu'une créature de taille minuscule ou plus grande touche ou entre dans la zone protégée. Lorsque vous lancez le sort, vous pouvez désigner des créatures qui ne déclencheront pas l'alarme. Vous choisissez également si l'alarme est mentale ou sonore.

Une alarme mentale vous avertit par un ping dans votre esprit si vous vous trouvez à moins de 1,6 km de la zone protégée. Ce ping vous réveille si vous dormez.

Une alarme sonore produit le son d'une clochette pendant 10 secondes dans un rayon de 18 mètres.",
2,1 action,"['bard', 'druid', 'ranger']","This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higher, the spell fails. Otherwise, the beast must succeed on a Wisdom saving throw or be charmed by you for the spell's duration. If you or one of your companions harms the target, the spell ends.",24 hours,1,Animal Friendship,30 feet,False,enchantment,"['bard', 'druid', 'ranger', 'level1']",1st-level enchantment,True,"V, S, M (a morsel of food)",True,True,['a morsel of food'],"When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above 1st.",Amitié animale,"Ce sort vous permet de convaincre une bête que vous ne lui voulez aucun mal. Choisissez une bête que vous pouvez voir à portée. Elle doit vous voir et vous entendre. Si l'intelligence de la bête est de 4 ou plus, le sort échoue. Sinon, la bête doit réussir un jet de sauvegarde de Sagesse ou être charmée par vous pendant la durée du sort. Si vous ou l'un de vos compagnons blessez la cible, le sort prend fin.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, vous pouvez affecter une bête supplémentaire pour chaque niveau d'emplacement supérieur au 1er."
3,1 action,"['bard', 'cleric']","Up to three creatures of your choice that you can see within range must make Charisma saving throws. Whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the attack roll or saving throw.","Concentration, up to 1 minute",1,Bane,30 feet,False,enchantment,"['bard', 'cleric', 'level1']",1st-level enchantment,True,"V, S, M (a drop of blood)",True,True,['a drop of blood'],"When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",Fléau,"Jusqu'à trois créatures de votre choix visibles à portée doivent effectuer des jets de sauvegarde de Charisme. Lorsqu'une cible qui rate ce jet de sauvegarde effectue un jet d'attaque ou un jet de sauvegarde avant la fin du sort, elle doit lancer un d4 et soustraire le résultat obtenu du jet d'attaque ou du jet de sauvegarde.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, vous pouvez cibler une créature supplémentaire pour chaque niveau d'emplacement supérieur au 1er."
4,1 action,"['bard', 'sorcerer', 'warlock', 'wizard']","You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.",1 round,cantrip,Blade Ward,Self,False,abjuration,"['bard', 'sorcerer', 'warlock', 'wizard', 'cantrip']",Abjuration cantrip,False,"V, S",True,True,,,Garde de lame,"Vous étendez votre main et tracez un sceau de protection dans les airs. Jusqu'à la fin de votre prochain tour, vous bénéficiez d'une résistance contre les dégâts contondants, perforants et tranchants infligés par les attaques d'armes.",
5,1 action,"['cleric', 'paladin']","You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the attack roll or saving throw.","Concentration, up to 1 minute",1,Bless,30 feet,False,enchantment,"['cleric', 'paladin', 'level1']",1st-level enchantment,True,"V, S, M (a sprinkling of holy water)",True,True,['a sprinkling of holy water'],"When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",Bénir,"Vous bénissez jusqu'à trois créatures de votre choix à portée. Chaque fois qu'une cible effectue un jet d'attaque ou un jet de sauvegarde avant la fin du sort, elle peut lancer un d4 et ajouter le résultat obtenu au jet d'attaque ou au jet de sauvegarde.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, vous pouvez cibler une créature supplémentaire pour chaque niveau d'emplacement supérieur au 1er."
6,1 action,"['sorcerer', 'wizard']","As you hold your hands with thumbs touching and fingers spread, a thin sheet of flames shoots forth from your outstretched fingertips. Each creature in a 15-foot cone must make a Dexterity saving throw. A creature takes 3d6 fire damage on a failed save, or half as much damage on a successful one.

The fire ignites any flammable objects in the area that aren’t being worn or carried.",Instantaneous,1,Burning Hands,Self (15-foot cone),False,evocation,"['sorcerer', 'wizard', 'level1']",1st-level evocation,False,"V, S",True,True,,"When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",Mains brûlantes,"Tandis que vous tenez vos mains, les pouces se touchant et les doigts écartés, une fine couche de flammes jaillit du bout de vos doigts tendus. Chaque créature dans un cône de 4,5 mètres doit effectuer un jet de sauvegarde de Dextérité. Une créature subit 3d6 dégâts de feu en cas d'échec, ou la moitié de ces dégâts en cas de réussite.

Le feu enflamme tous les objets inflammables de la zone qui ne sont pas portés ou transportés.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, les dégâts augmentent de 1d6 pour chaque niveau d'emplacement supérieur au 1er."
7,1 action,"['bard', 'druid', 'sorcerer', 'warlock', 'wizard']","You attempt to charm a humanoid you can see within range. It must make a Wisdom saving throw, and does so with advantage if you or your companions are fighting it. If it fails the saving throw, it is charmed by you until the spell ends or until you or your companions do anything harmful to it. The charmed creature regards you as a friendly acquaintance. When the spell ends, the creature knows it was charmed by you.",1 hour,1,Charm Person,30 feet,False,enchantment,"['bard', 'druid', 'sorcerer', 'warlock', 'wizard', 'level1']",1st-level enchantment,False,"V, S",True,True,,"When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.",Charmer une personne,"Vous tentez de charmer un humanoïde que vous pouvez voir à portée. Il doit réussir un jet de sauvegarde de Sagesse, et le fait avec avantage si vous ou vos compagnons le combattez. S'il rate son jet de sauvegarde, vous le charmez jusqu'à ce que le sort prenne fin ou jusqu'à ce que vous ou vos compagnons lui fassiez quelque chose de mal. La créature charmée vous considère comme une connaissance amicale. Lorsque le sort prend fin, la créature sait qu'elle a été charmée par vous.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, vous pouvez cibler une créature supplémentaire pour chaque niveau d'emplacement supérieur au 1er. Les créatures doivent se trouver à 9 mètres maximum les unes des autres lorsque vous les ciblez."
8,1 action,"['sorcerer', 'warlock', 'wizard']","You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target.

If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn.

This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",1 round,cantrip,Chill Touch,120 feet,False,necromancy,"['sorcerer', 'warlock', 'wizard', 'cantrip']",Necromancy cantrip,False,"V, S",True,True,,,Toucher froid,"Vous créez une main fantomatique et squelettique dans l'espace d'une créature à portée. Lancez une attaque de sort à distance contre la créature pour l'assaillir avec le froid de la tombe. En cas de succès, la cible subit 1d8 dégâts nécrotiques et ne peut pas récupérer de points de vie avant le début de votre prochain tour. Jusqu'à ce moment, la main s'accroche à la cible.

Si vous touchez une cible morte-vivante, elle subit également un désavantage sur les jets d'attaque contre vous jusqu'à la fin de votre prochain tour.

Les dégâts de ce sort augmentent de 1d8 lorsque vous atteignez le niveau 5 (2d8), le niveau 11 (3d8) et le niveau 17 (4d8).",
9,1 action,"['sorcerer', 'wizard']","You hurl a 4-inch-diameter sphere of energy at a creature that you can see within range. You choose acid, cold, fire, lightning, poison, or thunder for the type of orb you create, and then make a ranged spell attack against the target. If the attack hits, the creature takes 3d8 of the type you chose.",Instantaneous,1,Chromatic Orb,90 feet,False,evocation,"['sorcerer', 'wizard', 'level1']",1st-level evocation,True,"V, S, M (a diamond worth at least 50gp)",True,True,['a diamond worth at least 50gp'],"When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st.",Orbe chromatique,"Vous lancez une sphère d'énergie de 10 cm de diamètre sur une créature que vous pouvez voir à portée. Vous choisissez l'acide, le froid, le feu, la foudre, le poison ou le tonnerre comme type d'orbe que vous créez, puis effectuez une attaque de sort à distance contre la cible. Si l'attaque touche, la créature subit 3d8 du type que vous avez choisi.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, les dégâts augmentent de 1d8 pour chaque niveau d'emplacement supérieur au 1er."
